date,nifty_tr,synthetic_nifty_wheel
2022-08-25,29763026.245216213,27481259.94377614
2022-08-26,29824990.94861445,27480807.383211143
2022-08-29,29407088.916483346,27394347.383211143
2022-08-30,30165346.44141633,27511827.383211143
2022-09-01,29797617.453060012,27462162.383211143
2022-09-02,29791967.28282377,27464967.383211143
2022-09-05,30006533.374900494,27499864.883211143
2022-09-06,29989196.827716008,27506794.883211143
2022-09-07,29936227.94401067,27512074.883211143
2022-09-08,30232341.317074567,27551014.883211143
2022-09-09,30291135.842141494,27564957.383211143
2022-09-12,30466103.95026446,27575764.883211143
2022-09-13,30693186.98261607,27585334.883211143
2022-09-14,30580546.21821706,27580714.883211143
2022-09-15,30365933.333840247,27583024.883211143
2022-09-16,29777368.085194737,27549282.383211143
2022-09-19,29932601.540753458,27565039.883211143
2022-09-20,30262066.12570868,27588964.883211143
2022-09-21,30095789.687328,27584427.383211143
2022-09-22,29945434.32905398,27595812.383211143
2022-09-23,29431678.270182244,27577497.383211143
2022-09-26,28903334.711756505,27553489.883211143
2022-09-27,28888197.402676404,27581209.883211143
2022-09-28,28635507.284098864,27575599.883211143
2022-09-29,28566675.810661975,27606454.883211143
2022-09-30,29035885.59984512,27606045.62070114
2022-10-03,28684288.256945875,27554280.62070114
2022-10-04,29341567.99827804,27653900.62070114
2022-10-06,29439200.132422205,27670220.62070114
2022-10-07,29410118.717914373,27680420.62070114
2022-10-10,29284984.40939051,27679400.62070114
2022-10-11,28847686.968870834,27649990.62070114
2022-10-12,29085602.418693993,27673960.62070114
2022-10-13,28900035.85459994,27667415.62070114
2022-10-14,29191083.961178765,27699715.62070114
