ticker,expiry,lot_size,method
INDUSINDBK,2021-10-28,900,legacy NSE open-interest divisibility; BHARTIARTL rights-period lots use NSE FAOP49720
INDUSINDBK,2021-11-25,900,legacy NSE open-interest divisibility; BHARTIARTL rights-period lots use NSE FAOP49720
INDUSINDBK,2021-12-30,900,legacy NSE open-interest divisibility; BHARTIARTL rights-period lots use NSE FAOP49720
INDUSINDBK,2022-01-27,900,legacy NSE open-interest divisibility; BHARTIARTL rights-period lots use NSE FAOP49720
INDUSINDBK,2022-02-24,900,legacy NSE open-interest divisibility; BHARTIARTL rights-period lots use NSE FAOP49720
INDUSINDBK,2022-03-31,900,legacy NSE open-interest divisibility; BHARTIARTL rights-period lots use NSE FAOP49720
INDUSINDBK,2022-04-28,900,legacy NSE open-interest divisibility; BHARTIARTL rights-period lots use NSE FAOP49720
INDUSINDBK,2022-05-26,900,legacy NSE open-interest divisibility; BHARTIARTL rights-period lots use NSE FAOP49720
INDUSINDBK,2022-06-30,900,legacy NSE open-interest divisibility; BHARTIARTL rights-period lots use NSE FAOP49720
INDUSINDBK,2022-07-28,900,legacy NSE open-interest divisibility; BHARTIARTL rights-period lots use NSE FAOP49720
INDUSINDBK,2022-08-25,900,legacy NSE open-interest divisibility; BHARTIARTL rights-period lots use NSE FAOP49720
INDUSINDBK,2022-09-29,900,legacy NSE open-interest divisibility; BHARTIARTL rights-period lots use NSE FAOP49720
INDUSINDBK,2022-10-27,900,legacy NSE open-interest divisibility; BHARTIARTL rights-period lots use NSE FAOP49720
INDUSINDBK,2022-11-24,450,legacy NSE open-interest divisibility; BHARTIARTL rights-period lots use NSE FAOP49720
INDUSINDBK,2022-12-29,450,legacy NSE open-interest divisibility; BHARTIARTL rights-period lots use NSE FAOP49720
INDUSINDBK,2023-01-25,450,legacy NSE open-interest divisibility; BHARTIARTL rights-period lots use NSE FAOP49720
INDUSINDBK,2023-02-23,450,legacy NSE open-interest divisibility; BHARTIARTL rights-period lots use NSE FAOP49720
INDUSINDBK,2023-03-29,450,legacy NSE open-interest divisibility; BHARTIARTL rights-period lots use NSE FAOP49720
INDUSINDBK,2023-04-27,450,legacy NSE open-interest divisibility; BHARTIARTL rights-period lots use NSE FAOP49720
INDUSINDBK,2023-05-25,450,legacy NSE open-interest divisibility; BHARTIARTL rights-period lots use NSE FAOP49720
INDUSINDBK,2023-06-28,450,legacy NSE open-interest divisibility; BHARTIARTL rights-period lots use NSE FAOP49720
INDUSINDBK,2023-06-29,450,legacy NSE open-interest divisibility; BHARTIARTL rights-period lots use NSE FAOP49720
INDUSINDBK,2023-07-27,500,legacy NSE open-interest divisibility; BHARTIARTL rights-period lots use NSE FAOP49720
INDUSINDBK,2023-08-31,500,legacy NSE open-interest divisibility; BHARTIARTL rights-period lots use NSE FAOP49720
INDUSINDBK,2023-09-28,500,legacy NSE open-interest divisibility; BHARTIARTL rights-period lots use NSE FAOP49720
INDUSINDBK,2023-10-26,500,legacy NSE open-interest divisibility; BHARTIARTL rights-period lots use NSE FAOP49720
INDUSINDBK,2023-11-30,500,legacy NSE open-interest divisibility; BHARTIARTL rights-period lots use NSE FAOP49720
INDUSINDBK,2023-12-28,500,legacy NSE open-interest divisibility; BHARTIARTL rights-period lots use NSE FAOP49720
INDUSINDBK,2024-01-25,500,legacy NSE open-interest divisibility; BHARTIARTL rights-period lots use NSE FAOP49720
INDUSINDBK,2024-02-29,500,legacy NSE open-interest divisibility; BHARTIARTL rights-period lots use NSE FAOP49720
INDUSINDBK,2024-03-28,500,legacy NSE open-interest divisibility; BHARTIARTL rights-period lots use NSE FAOP49720
INDUSINDBK,2024-04-25,500,legacy NSE open-interest divisibility; BHARTIARTL rights-period lots use NSE FAOP49720
INDUSINDBK,2024-05-30,500,legacy NSE open-interest divisibility; BHARTIARTL rights-period lots use NSE FAOP49720
INDUSINDBK,2024-06-27,500,legacy NSE open-interest divisibility; BHARTIARTL rights-period lots use NSE FAOP49720
INDUSINDBK,2024-07-25,500,legacy NSE open-interest divisibility; BHARTIARTL rights-period lots use NSE FAOP49720
INDUSINDBK,2024-08-29,500,legacy NSE open-interest divisibility; BHARTIARTL rights-period lots use NSE FAOP49720
INDUSINDBK,2024-09-26,500,legacy NSE open-interest divisibility; BHARTIARTL rights-period lots use NSE FAOP49720
INFY,2020-01-30,1200,legacy NSE turnover estimate validated by open-interest divisibility
INFY,2020-02-27,1200,legacy NSE turnover estimate validated by open-interest divisibility
INFY,2020-03-26,1200,legacy NSE turnover estimate validated by open-interest divisibility
INFY,2020-04-30,1200,legacy NSE turnover estimate validated by open-interest divisibility
INFY,2020-05-28,1200,legacy NSE turnover estimate validated by open-interest divisibility
INFY,2020-06-25,1200,legacy NSE turnover estimate validated by open-interest divisibility
INFY,2020-07-30,1200,legacy NSE turnover estimate validated by open-interest divisibility
INFY,2020-08-27,1200,legacy NSE turnover estimate validated by open-interest divisibility
INFY,2020-09-24,1200,legacy NSE turnover estimate validated by open-interest divisibility
INFY,2020-10-29,1200,legacy NSE turnover estimate validated by open-interest divisibility
INFY,2020-11-26,600,legacy NSE turnover estimate validated by open-interest divisibility
INFY,2020-12-31,600,legacy NSE turnover estimate validated by open-interest divisibility
INFY,2021-01-28,600,legacy NSE turnover estimate validated by open-interest divisibility
INFY,2021-02-25,600,legacy NSE turnover estimate validated by open-interest divisibility
INFY,2021-03-25,600,legacy NSE turnover estimate validated by open-interest divisibility
INFY,2021-04-29,600,legacy NSE turnover estimate validated by open-interest divisibility
INFY,2021-05-27,600,legacy NSE turnover estimate validated by open-interest divisibility
INFY,2021-06-24,600,legacy NSE turnover estimate validated by open-interest divisibility
INFY,2021-07-29,600,legacy NSE turnover estimate validated by open-interest divisibility
INFY,2021-08-26,600,legacy NSE turnover estimate validated by open-interest divisibility
INFY,2021-09-30,600,legacy NSE turnover estimate validated by open-interest divisibility
INFY,2021-10-28,600,legacy NSE turnover estimate validated by open-interest divisibility
INFY,2021-11-25,300,legacy NSE turnover estimate validated by open-interest divisibility
INFY,2021-12-30,300,legacy NSE turnover estimate validated by open-interest divisibility
INFY,2022-01-27,300,legacy NSE turnover estimate validated by open-interest divisibility
INFY,2022-02-24,300,legacy NSE turnover estimate validated by open-interest divisibility
INFY,2022-03-31,300,legacy NSE turnover estimate validated by open-interest divisibility
INFY,2022-04-28,300,legacy NSE turnover estimate validated by open-interest divisibility
INFY,2022-05-26,300,legacy NSE turnover estimate validated by open-interest divisibility
INFY,2022-06-30,300,legacy NSE turnover estimate validated by open-interest divisibility
INFY,2022-07-28,300,legacy NSE turnover estimate validated by open-interest divisibility
INFY,2022-08-25,300,legacy NSE turnover estimate validated by open-interest divisibility
INFY,2022-09-29,300,legacy NSE turnover estimate validated by open-interest divisibility
